52;COLLEGE PRIVE CATHOLIQUE SAINTE MARGUERITE;8CM2TEFD110294067;Etablissement;2;1;1er et 2nd Cycles;2;RAS;655013351;ZOETELE, 60 ZOETELE;1;ZOETELE;60 ZOETELE;\N
58;SAINT RITA'S  CATHOLIC TECHNICAL COMMERCIAL AND INDUSTRIAL HIGH SCHOOL;3HI2TEAD100214087;Etablissement;2;2;1er Cycle;2;RAS;75073916;NJINOH, 1850 KUMBO;1;NJINOH;1850 KUMBO;RURALE
60;BAIRD MEMORIAL COLLEGE;6CC2WAD100908107;Etablissement;1;2;1er Cycle;6;RAS;677780405;WOTOLO, 403 BUEA;1;WOTOLO;403 BUEA;\N
60;CHRISTIAN COMPREHENSIVE COLLEGE BUEA;6CC2WAD100911104;Etablissement;1;2;1er Cycle;6;RAS;;BOKWAONGO, 409 BUEA;1;BOKWAONGO;409 BUEA;RURALE
60;BAPTIST COMPREHENSIVE COLLEGE BUEA;6CC2WFD100997114;Etablissement;4;1;1er Cycle;6;RAS;;, ;1;;;\N
60;COMMUNITY CHRISTIAN COLLEGE;6CC2TCAD101126115;Etablissement;1;2;1er Cycle;2;RAS;674394186;MUEA, 10015 BUEA;1;MUEA;10015 BUEA;RURALE
60;FOMIC COMPREHENSIVE HIGH SCHOOL;6CC2TCAD101206110;Etablissement;1;2;1er Cycle;2;RAS;;BUEA, 123;1;BUEA;123;RURALE
60;TRIUMPH BILINGUAL COMPREHENSIVE ACADEMY (NCC), MUEA;6CC2TCAD101207101;Etablissement;1;2;1er Cycle;2;RAS;677409689;MUEA, 294 BUEA;1;MUEA;294 BUEA;URBAINE
60;ST PAUL'S HIGHER TECHNICAL AND COMMERCIAL COLLEGE;6CC2WAD111208100;Etablissement;2;2;1er et 2nd Cycles;6;RAS;674596931;BOJONGO, 53 LIMBE;1;BOJONGO;53 LIMBE;\N
60;CAMBRIDGE COLLEGE OF ARTS, SCIENCE AND TECHNOLOGY BUEA ( CCAST );6CC2WAD110909102;Etablissement;1;2;1er et 2nd Cycles;6;RAS;677727804;SAND PIT GREAT SOPPO, 444 BUEA;1;SAND PIT GREAT SOPPO;444 BUEA;URBAINE
60;CHARITY COMPRENSIVE ACADEMY   ( CCA );6CC2WAD111125110;Etablissement;1;2;1er et 2nd Cycles;6;RAS;;BOLIFAMBA, 550 BUEA;1;BOLIFAMBA;550 BUEA;\N
60;INTER COMPREHENSIVE HIGH SCHOOL;6CC2WAD110259091;Etablissement;1;2;1er et 2nd Cycles;6;RAS;674879687;GREAT SOPPO, 09 BUEA;1;GREAT SOPPO;09 BUEA;\N
60;NABESK COMPREHENSIVE COLLEGE (NCC);6CC2WAD111137113;Etablissement;1;2;1er et 2nd Cycles;6;RAS;676664753;BONDUMA, 294 BUEA;1;BONDUMA;294 BUEA;URBAINE
60;SALVATION BILINGUAL COMPREHENSIVE HIGH SCHOOL;6CC2WAD110924103;Etablissement;1;2;1er et 2nd Cycles;6;RAS;;, ;1;;;URBAINE
